input,output,appropriateness_score,self_contained_score,faithfulness_score,relevance_score,completeness_score,helpfulness_score,evaluation_justification
"If you encounter issues with activating or using an offer, you can reach out to the app's support team via the chat option available in the app's help section for assistance.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"If your card has been returned, you can reinitiate the delivery by clicking the option below.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Your transactions will be rewarded within 48 hours, excluding certain categories like transfers, rent, and fuel. Let the rewards roll in! 🎉💳🕒",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
Your rewards are credited on the 10th of each month.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To apply for a credit limit increase on your OneCard, continue using your card responsibly and making timely repayments. Once you qualify for an increase, you'll be notified via SMS or email, and you'll find the option to increase your limit in the profile section. Keep up your excellent financial habits!",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"As of now, there will not be any extra fees or charges for Mobile Prepaid Recharges.",FALSE,1,1,1,1,1,1,"The overview directly contradicts the FAQ answer, provides no relevant or complete information, and is unhelpful. It does not accurately reflect the statement that there are currently no extra fees or charges for mobile prepaid recharges."
I'm not sure based on the knowledge base.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
The card mentioned is currently in the process of developing an airport lounge access feature that will be launched soon. Stay tuned for updates on this exciting addition.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"If your card has been returned, you can reinitiate the delivery by clicking the option below. The card will be temporarily blocked for security purposes until it safely reaches you.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"The rewards on your card include the ability to redeem the reward points earned by your add-on family member, adding more value and benefits to your One Credit Card experience. Enjoy the perks together!",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To check your declines, you can monitor your transactions in your account to see which ones are being declined. Additionally, you can check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Your One Credit Card's limit increase is based on your credit score, financial history, and internal policies. Once you qualify for an increase, you'll be notified via SMS or email, and you can find the option to increase your limit in the profile section. Keep using your OneCard responsibly and making timely repayments to increase your chances of getting an upgrade.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"If your card has been returned, you can reinitiate the delivery by clicking the option below. Note: The card will be temporarily blocked for security purposes until it safely reaches you.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
Your One Credit Card has security measures in place such as default disabling of international transactions for security reasons. It is recommended to enable your International Card Controls before making planned international trips or online transactions with international merchants. You can also set transaction limits for each type of transaction from the 'Advanced Controls' section.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"The One Credit Card is an international credit card accepted worldwide, but international transactions are disabled by default for security reasons. It is recommended to enable International Card Controls before making international transactions.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,1,1,1,1,1,1,"The overview is merely 'FALSE' with no context or details. It does not reference any FAQ content, nor does it provide any useful or relevant information for the user's query."
"To apply for a credit limit increase on your OneCard, continue using your card responsibly and making timely repayments. Once you qualify for an increase, you will be notified via SMS or email, and you can find the option to increase your limit in the profile section.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To apply for a metal card, you need to make your total fixed deposit amount more than ₹50,000.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To increase your transactions, you can try transacting in smaller amounts or with different merchants. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"The bill payment on your OneCard can be done by clicking 'Pay Now' on the homepage, selecting the amount or entering a custom amount, and choosing UPI, Debit Card, or Net banking for payment. Remember to check for any transaction limits set by your bank for seamless repayment via UPI.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, there is a charge for EMI. The EMI amount includes an interest and principal component, and it also includes GST that is levied on fees and charges. The currently applicable GST rate is 18%.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Your transactions may have been declined to safeguard your account, especially with risky merchants or high-value transfers. To avoid declines, try transacting in smaller amounts or with different merchants. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"You can check your offers on the Offers page, where you will find exciting offer descriptions, redemption URLs/codes, and all the key terms and conditions.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
❌ This query is flagged as unsafe or manipulative.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, the metal card feature is available on this card. Just make your total fixed deposit amount more than ₹50,000 to get a metal card.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To check your credit limit on your OneCard, you can find the option in the profile section once you qualify for an increase. You will be notified via SMS or email when you qualify for an increase.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
Paying the monthly bill is the responsibility of the primary cardholder.,FALSE,1,1,1,1,1,1,"The overview, which is simply 'FALSE', contradicts the original FAQ content, lacks completeness, is not relevant or helpful, and therefore scores low on all measures, though it is final and does not request more input."
I cannot find that information in the provided context.,FALSE,1,1,1,1,1,1,"The overview provides no content and therefore does not address or reflect the FAQ information, making it unhelpful, irrelevant, and incomplete."
You can check your rewards by going to the “My Purchase” section in the OnePass dashboard. This section displays all the rewards you’ve earned for the actions completed under your activated passes.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, there is a charge for a metal card re-issuance, which is Rs 3000 + GST.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"When installing the app, your family member will undergo a quick KYC process. Just remind them to keep their PAN and Aadhar card handy. Also, make sure they use the same mobile number provided in the invite for a seamless experience.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
❌ This query is flagged as unsafe or manipulative.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, there is a small rent payment fee of up to 2% + GST on the total rent amount when using the OneCard app for rent payments.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"In most cases, you can activate and use one offer at a time. However, it's always a good idea to check the terms and conditions of each offer for specific details. If you want to increase your offers, you may need to check if there are any restrictions or limitations in place.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To apply for an EMI, you can select the transaction you want to convert and look for the convert option available. Then, choose a suitable tenure and confirm to convert to EMI. Additionally, you can check the My EMI section in your OneCard page for a list of eligible transactions.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To check your metal card, you can contact the institution where you made a total fixed deposit amount of more than ₹50,000 to get the metal card. They should be able to provide you with information on how to access or check your metal card.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, the rent payment transaction may be declined based on specific conditions mentioned in the context, such as exceeding 30% of your credit limit for rent payments or making more than two rent payments within the current month.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Once you make your total fixed deposit amount more than ₹50,000, you will be able to get your metal card.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, the credit limit feature is available on the One Credit Card.",FALSE,1,1,1,1,1,1,"The overview directly contradicts the provided answer, is irrelevant and unhelpful, omitting necessary details."
❌ This query is flagged as unsafe or manipulative.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, the transactions feature is available on this card, and you can control the card and transaction actions of your add-on family member through the MyFamily feature.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I'm not sure based on the knowledge base.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I'm not sure based on the knowledge base.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I'm not sure based on the knowledge base.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"If your card has been returned, you can reinitiate the delivery by clicking the option below. The card will be temporarily blocked for security purposes until it safely reaches you.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, rewards for actions completed under OnePass are credited to your account in real-time. However, if any associated transaction is refunded, reversed, or canceled, the rewards will be deducted accordingly. Time of crediting rewards is subject to change from one pass to the other.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"You have access to your entire credit limit, even when you share it, ensuring maximum flexibility for you and your family. Your available limit will depend on the total spends by you and your family members.",FALSE,1,1,1,1,1,1,"The overview ('FALSE') does not reflect or summarize any of the information from the FAQ answer, failing on faithfulness, relevance, completeness, and helpfulness. However, the original FAQ answer is suitable for text-only summarization and the response does not ask for further clarification."
"You can increase your card limit upgrade by continuing to use your OneCard responsibly and making timely repayments. Once you qualify for an increase, you'll be notified via SMS or email, and you'll find the option to increase your limit in the profile section.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To find the EMI on your card, you can check the My EMI section in your OneCard page, which lists down all the eligible transactions that can be converted to EMI. From there, you can select a suitable tenure and confirm to convert to EMI.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To confirm your KYC details, make sure to have your PAN and Aadhar card handy during the app installation process. Additionally, ensure that you use the same mobile number provided in the invite for a seamless experience. This will help in completing the KYC process hassle-free.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
You won't receive declines based on reaching your budget.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
International transactions with your One Credit Card are disabled by default for security reasons. It's recommended to enable your International Card Controls before making planned international trips or online transactions with international merchants. You can change your International Card Controls settings by navigating to the 'My Card' screen and following the steps provided.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, there is a charge for card delivery. The charges for One Credit Card reissuance include the cost of the card and the delivery.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Transactions are important in financial processes as they allow you to make purchases and transfers. However, they may occasionally be declined to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, you can try transacting in smaller amounts or with different merchants. Additionally, you can check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To check your EMI, you can head to the Offers tab in your EMI dashboard. This is where you can find information about your EMI transactions and plans.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
❌ This query is flagged as unsafe or manipulative.,TRUE,0,0,1,1,1,1,"No valid help overview is provided for evaluation, and the query is flagged as unsafe or manipulative."
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"In most cases, you can activate and use one offer at a time. However, it's always a good idea to check the terms and conditions of each offer for specific details.",FALSE,1,1,5,5,5,5,"The overview exactly matches the FAQ statement, remains faithful, is directly relevant, complete, and provides a clear, self-contained answer suitable for text-based summarization."
❌ This query is flagged as unsafe or manipulative.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"A metal card is a type of card that you can get by making your total fixed deposit amount more than ₹50,000.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, there is a charge for card upgrade for the metal card. The card re-issuance fee for a metal card is Rs 3000 + GST. However, it is mentioned that the metal card is available only if your FD amount is greater than Rs. 50,000.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
Interest rate is a modest 3.75% monthly charge that applies if there is an unpaid remaining amount due after the bill due date.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
❌ This query is flagged as unsafe or manipulative.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
❌ This query is flagged as unsafe or manipulative.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To check your bill payment, you can likely view the payment confirmation on the OneCard website after completing the transaction. If you need a receipt or further details, you may need to contact OneCard customer support for assistance.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"There is a small fee for transfers to bank accounts or third-party wallets with One Credit Card. If the total amount of transfers in a calendar month exceeds Rs 10,000, a transfer fee of 1% plus GST is charged for that month.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"The transactions on your card include international transactions, which are by default disabled for your One Credit Card due to security reasons. It's recommended to enable your International Card Controls before making planned international trips or online transactions with international merchants. You can change your International Card Controls settings by navigating to the 'My Card' screen from the second tab at the bottom of the home screen.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,1,1,2,1,1,1,Overview is unhelpful and does not answer the query or provide relevant information from the context.
The provided context does not directly address whether the specific credit card offers a Know Your Customer (KYC) feature for identity verification and security purposes.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, there is a charge for interest rate. If there is an unpaid remaining amount due after the bill due date, a modest 3.75% monthly interest will apply.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"The credit limit on your OneCard is based on your credit score, financial history, and internal policies of the company. It will increase based on your responsible use and timely repayments. You will be notified via SMS or email when you qualify for an increase.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
The interest rate on your OneCard is 3.75% monthly if payment is due.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"EMI(s) will be a part of the Minimum Amount Due (MAD) on your statement, which must be paid by the Due Date. It is important to pay the Total Amount Due (TAD) whenever possible to have a smoother financial journey.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
You can check your transactions by looking at your 'My Controls' section in the app.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, the offers feature is available on the One Credit Card app.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"The rewards you earn for qualifying transactions will be credited within 48 hours. We offer rewards in categories like food, shopping, travel, and entertainment, but certain categories like transfers, rent, and fuel are excluded. Let the rewards roll in! 🎉💳🕒",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"You can potentially decrease your declines by transacting in smaller amounts or with different merchants to maintain a healthy spending pattern. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
